resolution,noise,conv_layers,activation,optimizer,batch_size,mean_accuracy,median_accuracy,std_dev_accuracy,avg_training_time_sec,cat_cat,cat_wild,cat_dog,wild_cat,wild_wild,wild_dog,dog_cat,dog_wild,dog_dog,cat_recall,cat_specificity,cat_precision,cat_f1_score,cat_type1_error,cat_type2_error,cat_TP,cat_FP,cat_FN,cat_TN,wild_recall,wild_specificity,wild_precision,wild_f1_score,wild_type1_error,wild_type2_error,wild_TP,wild_FP,wild_FN,wild_TN,dog_recall,dog_specificity,dog_precision,dog_f1_score,dog_type1_error,dog_type2_error,dog_TP,dog_FP,dog_FN,dog_TN
128x128,no,3,relu,adam,32,95.95,96.16,0.88,1216.7,529.85,5.05,8.1,9.45,511.8,21.75,5.15,16.5,521.35,0.9758,0.9866,0.9737,0.9745,0.0134,0.0242,529.85,14.6,13.15,1071.4,0.9426,0.9802,0.9609,0.9509,0.0198,0.0575,511.8,21.55,31.2,1064.45,0.9601,0.9725,0.9477,0.953,0.0275,0.0399,521.35,29.85,21.65,1056.15
128x128,no,3,relu,adam,8,95.31,95.55,1.3,580.57,526.55,8.15,8.3,10.3,509.45,23.25,9.45,16.9,516.65,0.9697,0.9818,0.9652,0.9669,0.0182,0.0303,526.55,19.75,16.45,1066.25,0.9382,0.9769,0.9543,0.9455,0.0231,0.0618,509.45,25.05,33.55,1060.95,0.9515,0.9709,0.9447,0.947,0.0291,0.0485,516.65,31.55,26.35,1054.45
128x128,no,3,relu,adam,16,96.4,96.44,0.72,651.69,528.95,6.9,7.15,8.4,516.35,18.25,5.05,12.95,525.0,0.9741,0.9876,0.9755,0.9747,0.0124,0.0259,528.95,13.45,14.05,1072.55,0.9509,0.9817,0.9633,0.9569,0.0183,0.0491,516.35,19.85,26.65,1066.15,0.9669,0.9766,0.9544,0.9604,0.0234,0.0331,525.0,25.4,18.0,1060.6
128x128,no,3,relu,adam,64,96.08,95.95,0.94,676.25,528.95,6.5,7.55,8.1,514.25,20.65,3.65,17.35,522.0,0.9741,0.9892,0.9784,0.9762,0.0108,0.0259,528.95,11.75,14.05,1074.25,0.947,0.978,0.9577,0.9514,0.022,0.0529,514.25,23.85,28.75,1062.15,0.9613,0.974,0.9501,0.9548,0.026,0.0387,522.0,28.2,21.0,1057.8
128x128,no,3,relu,adam,128,96.43,96.38,0.75,886.94,526.4,8.8,7.8,6.55,522.75,13.7,4.6,16.75,521.65,0.9694,0.9897,0.9796,0.9743,0.0103,0.0306,526.4,11.15,16.6,1074.85,0.9627,0.9765,0.9539,0.958,0.0235,0.0373,522.75,25.55,20.25,1060.45,0.9607,0.9802,0.9611,0.9605,0.0198,0.0393,521.65,21.5,21.35,1064.5
128x128,no,3,relu,adam,1,95.13,95.3,1.02,1594.31,526.85,10.3,5.85,13.4,510.3,19.3,8.6,21.85,512.55,0.9703,0.9797,0.9608,0.9652,0.0203,0.0297,526.85,22.0,16.15,1064.0,0.9398,0.9704,0.942,0.9402,0.0296,0.0602,510.3,32.15,32.7,1053.85,0.9439,0.9768,0.9537,0.9485,0.0232,0.0561,512.55,25.15,30.45,1060.85
128x128,no,3,relu,adam,4096,96.36,96.78,1.35,1935.86,528.45,5.85,8.7,8.55,515.65,18.8,5.3,12.05,525.65,0.9732,0.9872,0.9746,0.9738,0.0128,0.0268,528.45,13.85,14.55,1072.15,0.9496,0.9835,0.9668,0.9576,0.0165,0.0504,515.65,17.9,27.35,1068.1,0.9681,0.9747,0.9528,0.9596,0.0253,0.0319,525.65,27.5,17.35,1058.5
128x128,no,3,relu,adam,2048,96.99,96.99,0.53,2994.12,533.0,4.8,5.2,6.75,525.45,10.8,5.9,15.6,521.5,0.9816,0.9884,0.9769,0.9792,0.0117,0.0184,533.0,12.65,10.0,1073.35,0.9677,0.9812,0.9631,0.9652,0.0188,0.0323,525.45,20.4,17.55,1065.6,0.9604,0.9853,0.9704,0.9652,0.0147,0.0396,521.5,16.0,21.5,1070.0
32x32,no,3,relu,adam,16,94.79,94.84,0.9,61.79,520.65,12.3,10.05,14.4,509.2,19.4,12.05,16.6,514.35,0.9588,0.9757,0.9525,0.9553,0.0243,0.0412,520.65,26.45,22.35,1059.55,0.9378,0.9734,0.948,0.9419,0.0266,0.0622,509.2,28.9,33.8,1057.1,0.9472,0.9729,0.9474,0.9465,0.0271,0.0528,514.35,29.45,28.65,1056.55
64x64,no,3,relu,adam,16,95.92,95.98,0.7,221.53,528.35,9.5,5.15,10.4,519.7,12.9,10.95,17.5,514.55,0.973,0.9803,0.9619,0.9671,0.0197,0.027,528.35,21.35,14.65,1064.65,0.9571,0.9751,0.952,0.9539,0.0249,0.0429,519.7,27.0,23.3,1059.0,0.9476,0.9834,0.967,0.9566,0.0166,0.0524,514.55,18.05,28.45,1067.95
